Major,Early Career Pay,MidCareer Pay,Percentage High Meaning
Petroleum Engineering,97500,212500,61
Operations Research & Industrial Engineering,98300,191800,21
Interaction Design,74700,173600,54
Applied Economics and Management,76500,164400,54
Building Science,69000,163100,47
Actuarial Mathematics,70700,160000,52
Operations Research,92200,160000,57
Systems Engineering,87000,159100,58
Optical Science & Engineering,79600,158300,73
Information & Computer Science,76000,157800,63
Aeronautics & Astronautics,88200,156900,56
Aerospace Studies,62600,154300,
Pharmacy,69400,154000,79
Cognitive Science,78000,153800,43
Managerial Economics,74700,153300,38
Quantitative Economics,74500,152700,43
Econometrics,72000,152100,35
Foreign Affairs,62900,152000,32
Chemical Engineering,85600,151800,55
Public Accounting,69700,151200,47
Political Economy,73100,150600,31
Corporate Accounting & Finance,76800,149600,50
Actuarial Science,76700,149000,42
Computer Engineering (CE),89100,148500,46
Electrical Power Engineering,84700,148300,72
Computer Science (CS) & Engineering,90500,148200,44
Marine Transportation Management,78700,148000,
Marine Engineering,87900,147500,57
Operations & Information Systems Management,78800,147500,24
Electrical & Computer Engineering (ECE),88100,147000,49
Entrepreneurship & Marketing,63200,145800,45
Astronomy,75300,145600,52
Mechatronics,80900,144300,46
Computational & Applied Mathematics,85700,144100,46
Aeronautical Engineering,84200,143400,63
Welding Engineering,86600,143300,
Electrical Engineering (EE),84900,143000,54
Electrical & Electronics Engineering (EEE),83900,142900,57
Naval Architecture & Marine Engineering,82800,142800,49
Instrumentation & Control Engineering,82800,141900,44
Construction Engineering Management,78100,141800,53
Computer Science (CS) & Mathematics,80300,141000,44
Engineering Physics,78600,140300,48
Mechanical & Aeronautical Engineering,80900,139900,62
Chemical & Biomolecular Engineering,86000,139700,51
Computer Science (CS),85400,139700,42
Jazz Studies,60000,139400,51
Bioscience,59900,139300,
Information Management,67000,139000,33
Aerospace Engineering,83500,138100,53
Ocean Engineering (OE),78500,137800,49
Pharmacology,63500,137800,
Nuclear Engineering,85200,137600,55
Bioengineering (BioE),79500,137300,67
Applied Mathematics,77200,137000,40
Paper Science,84900,136500,43
Physician Assistant Studies,109600,136500,83
Materials Science,76700,136200,
Engineering,77800,135800,58
Industrial & Systems Engineering,82000,135700,48
Metallurgical Engineering,90800,135500,63
Materials Science & Engineering,81200,135300,47
Mining Engineering,87400,135200,59
Operations Management & Information Systems,75900,134900,43
Business & Information Technology (IT),71400,134700,50
Interactive Media Design,59600,134400,33
Energy Management,70100,134100,66
Physics,75500,134100,49
Materials Engineering,81200,133900,58
Biomedical Engineering (BME),80300,133500,71
Industrial Engineering (IE),80500,133400,44
Software Engineering,84200,133400,45
Global & International Studies,59400,133300,55
Computer & Information Science,72600,133100,58
Aeronautical/Aerospace Engineering Technology,82400,132800,51
Economics and Mathematics,77100,132700,38
Industrial Hygiene,65100,132700,54
Engineering Mechanics,82800,131900,
Business & Economics,66500,131700,44
Astrophysics,78600,131200,61
Electronics Engineering,77700,130900,65
Telecommunications Engineering,78000,130900,50
International Business & Finance,69000,130800,30
International Economics,66200,130600,54
Business Analysis,71000,130300,47
Management Science,73000,130300,43
Mechanical Engineering (ME),79600,130300,49
Economics,70500,130200,41
Ceramic Engineering,76400,129900,46
Management Information Systems (MIS),73900,129500,42
Industrial Distribution,71400,129200,48
Structural Engineering (SE),76200,128900,67
Accounting & Taxation,61900,128600,
Integrated Science & Technology,71600,128400,55
Automotive Engineering,75700,128300,50
Mathematics & Statistics,71800,128100,43
Packaging Science,78600,127600,41
Construction Project Management,69400,127400,64
Plastics Engineering,79200,127200,58
Information & Decision Sciences,73200,126800,36
Applied Physics,75800,126500,53
Building Construction (BC),73200,125900,51
Petroleum Land Management,66600,125900,
Industrial Engineering & Management,74800,125700,54
Accounting & Economics,74500,125400,48
Psychobiology,58600,125400,69
Finance & Economics,70300,124800,42
Medicine,88700,124700,94
Asian Studies,53100,123800,43
Marketing & International Business,59600,123500,36
Government,63500,123400,45
Business Computer Information Systems (BCIS),74200,123300,40
Finance & Real Estate,73500,123300,42
Biochemistry & Molecular Biology,61700,123100,70
Environmental Health & Safety Management,67500,123100,61
Financial Economics,70500,123100,36
Business Economics,66500,122800,45
Nuclear Engineering Technology (NET),92500,122800,54
Mathematics,72300,122700,44
Civil Engineering (CE),73400,122600,65
Business Information Systems,73800,122200,45
Information Systems Management,69500,122200,48
Polymer Science & Engineering,82900,122200,
Information Security & Assurance,70000,122000,42
Applied Economics,69200,122000,41
International Management,63100,121900,42
Political Communication,56000,121900,51
Economics & Political Science,64200,121900,46
Accounting & Computer Systems,75400,121800,
Civil & Environmental Engineering,73500,121800,66
Construction Management,71800,121800,59
Construction Science,77500,121800,67
Control Engineering,77700,121700,59
Russian Studies,56500,121600,41
Cybersecurity,72600,121500,56
Robotics & Automation,72700,121200,69
Computer Management Information Systems (CMIS),63900,121100,50
Aeronautical Science,64200,121000,62
Manufacturing Engineering,77500,121000,50
Information Systems (IS),73000,120600,45
Engineering Management,77400,120500,53
Computing & Information Systems (CIS),68900,120000,46
Mechanical,79800,119900,41
Business Logistics & Transportation,64700,119800,42
Biosystems Engineering,72600,119500,69
Agricultural Economics,61700,119400,57
Data Processing,73700,119300,42
Food Marketing,65000,119300,29
Geophysics,62700,119300,42
Management & Finance,64100,118800,61
Business Finance,65200,118600,44
Construction Engineering,75700,118600,60
Organic Chemistry,50600,118600,
Real Estate,69400,118500,42
Finance,68500,118400,42
Plastics Engineering Technology,73600,118400,34
European Studies,60900,118100,41
Safety Science,70000,118100,68
Computer Science & Information Technology,73500,118000,48
Japanese Language,59900,117900,39
Information Sciences and Technology,72900,117800,45
International Business,63100,117800,40
Architectural Engineering,74600,117700,57
International Marketing,66700,117600,25
Molecular Biology,61700,117600,66
Building Construction Management,70500,117500,67
Business Operations,71300,117400,
Computer Information Systems (CIS),69400,117300,47
Electrical Engineering Technology (EET),74000,117300,48
Government & International Politics (GVIP),58100,117200,44
Information Security,75000,117100,40
East Asian Studies,57500,116900,49
Strategic Management,74900,116700,48
Labor Relations,55700,116600,35
Entrepreneurship & Leadership,64300,116400,43
Agricultural Engineering (AE),71500,116300,62
Information Technology Management,71900,116100,48
International Relations,60500,116100,49
Financial Planning,61200,115800,59
Computer Engineering Technology (CET),71100,115700,45
Corporate Finance,72400,115700,40
Engineering Science,77500,115600,47
European History,59400,115500,41
Rhetoric,59300,114900,41
Network Engineering,69400,114600,51
Mechanical Design,68400,114500,50
Environmental Engineering,70400,114400,62
Chinese Language,61000,114000,42
Robotics,87900,114000,57
Economics & Management,61500,113800,47
Computing,71300,113600,55
Product Design,70000,113600,38
Mechanical Engineering Technology (MET),72300,113200,48
Industrial & Labor Relations,77000,113000,44
Food Science & Technology,59800,112800,49
Accounting & Auditing,65400,112700,44
Biochemistry (BCH),57100,112600,64
Accounting & Finance,66900,112500,46
Agricultural Economics & Business,62100,112500,56
Engineering Technology (ET),65800,112500,49
Biotechnology,61100,112500,62
Dairy Science,57700,112200,67
Operations Management (OM),69700,112200,44
Web Development,61600,112200,43
Industrial Management,65200,111900,51
Information Assurance,61600,111900,60
Telecommunication & Information Management,66800,111900,42
Environmental Policy Analysis & Planning,58200,111600,67
Pharmaceutical Sciences (PS),60900,111600,69
Aviation,65000,111400,52
Business & Marketing,59000,111400,46
Computer Networking Systems,64000,111400,48
Organizational Behavior,63500,111400,56
Consumer Economics,60600,111300,46
Information Technology (IT),67800,111300,46
Sales & Business Marketing,63900,111300,55
Aviation Management,58000,111200,56
Informatics,78700,111200,46
Industrial Safety,59400,111100,82
Structural Design & Construction Engineering Technology,77000,111100,48
Computer Security,76500,110800,43
Hotel Administration,76800,110800,37
Software Applications & Programming,71400,110800,33
Occupational Health and Safety,66800,110700,69
Database Management,74500,110600,
Business Technology Management,69600,110400,41
Production Management,55800,110400,27
Business & Finance,63600,109800,54
Environmental Health & Safety,64800,109600,66
Information Technology (IT) & Systems,70400,109600,47
Telecommunications Management,60600,109600,46
Electronics Engineering Technology (EET),72600,109300,51
Marketing & Management,57700,109300,47
Operations & Supply Chain Management,69300,109300,45
Physical Therapy,54900,109300,88
Politics,59500,109300,51
Physics & Astronomy,63700,109200,33
Agribusiness,57600,109000,53
Chemistry,58500,109000,56
Finance & Banking,62600,109000,47
Aviation Flight Science (AFL),61500,108800,49
Construction Science & Management,73800,108600,75
Marketing,58200,108400,41
Cell Biology,56800,108100,55
Civil Engineering Technology (CET),66000,108100,61
Genetics,61200,108100,72
Government & Politics,59500,107800,51
Biopsychology,60300,107500,74
Applied Networking & Systems Administration,67200,107500,44
Industrial Technology (IT),71700,107400,50
Geological Engineering,68400,107200,51
Real Estate Development,66600,107200,
Accounts,67100,107100,44
Electromechanical Engineering,79100,107100,56
Risk Management,68500,107000,37
Social Ecology,55400,107000,
Microbiology & Immunology,63500,106800,74
French Literature,53900,106600,50
City & Regional Planning,58600,106500,70
Construction Technology,71500,106500,
Italian Language,56600,106500,40
Marketing Communication,52200,106500,42
Business Management & Marketing,56900,106400,45
Industrial Design (ID),62900,106400,40
Marketing & Communications,56400,106300,46
Political Science,57700,106200,47
Advertising Design,58000,106100,32
Manufacturing Management,72300,106100,48
Computer Information Systems,65100,106000,45
Network Security,68000,106000,52
Risk Management & Insurance,67400,106000,46
Comparative Literature,53600,105800,49
Sales & Marketing,61100,105800,49
Welding Engineering Technology,82700,105600,42
Philosophy,60500,105500,42
Networks & Telecommunications,61600,105500,49
Business Data Analysis,72600,105500,39
Environmental Science & Policy,56600,105400,58
German Language,59000,105400,43
Japanese Studies,58000,105400,21
Atmospheric Science,55700,105200,55
Business Psychology,58000,105200,
Digital Design,56400,105200,39
International Development Studies,53700,105200,62
Accounting,62100,105100,41
Spanish Literature,57900,105000,49
Technical Communication,55600,105000,42
Computer Programming,67000,104800,47
Architecture,58000,104500,52
Project Management,64400,104500,56
Hotel Management,55900,104200,46
Music Production & Engineering,53400,104200,50
Urban Planning,56100,104200,53
Cell & Molecular Biology,58100,104000,67
Safety Management,67500,104000,67
Manufacturing Engineering Technology,74900,103500,50
Advertising,53500,103400,33
Marketing Management,58700,103300,40
Insurance,63400,103300,51
Occupational Therapy (OT),60700,103200,87
Applied Computer Science,74000,103000,42
Geology,56000,102800,55
Meteorology,53100,102800,55
Electronic Systems Technology (EST),86900,102600,44
Environmental Design,54000,102600,53
Radiation Therapy,76100,102600,91
Latin American Studies,53200,102500,61
Logistics,66400,102500,40
Transportation & Logistics Management,65800,102500,49
Applied Technology,65500,102300,49
Environmental Health,56900,102200,69
Design,60500,102000,39
Computer Graphics Technology (CGT),55100,101800,44
Crop Science,54700,101800,56
Industrial Psychology,56400,101500,50
Entrepreneurship,61500,101300,47
German Studies,57500,101300,46
Neuroscience,58900,101300,60
Computer & Network Administration,64500,101200,46
Financial Accounting,63500,101200,49
Food Science,60400,101200,48
Microbiology,54800,101200,69
Digital Media Design,52200,101000,28
Agronomy,55200,101000,65
Accounting & Management,62600,100600,50
Aeronautics,69600,100600,62
Business Communication,57900,100600,47
Urban & Regional Planning,59600,100500,60
Global Business Management,63800,100100,53
Police Science,61500,100100,
Math & Science,63900,100000,64
Corporate Communications,54700,99900,45
Political Science/Public Law,59200,99800,69
Accounting Information Systems,70900,99700,56
Anthropology & English,53800,99700,
Organizational Psychology,56400,99700,51
Advertising & Marketing Communications,54900,99200,38
Entomology,49900,99200,
Product Design Engineering,73500,99100,41
Personal Financial Planning,60400,99000,60
Biological Sciences,56400,98900,68
Prelaw,52900,98900,50
Textile Technology,60400,98800,37
Strategic Communication,52900,98700,42
Technology,63200,98700,
Environmental Science,55800,98600,61
International Studies,56200,98500,50
Cinema Studies,53200,98300,37
Professional & Technical Writing,54800,98200,47
